                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.92162,                 1.1833,                 1.0148,                0.95934,                0.91342,                0.26159,                0.73665,                0.52653,                0.91342,                0.26159,                0.72683,                0.49079,                 1.0306,                 1.2287,                 2.5778,                 1.0366,             0.00095117,             0.00095117,             0.00095117
                     35,                0.92951,                 1.2227,                 1.0639,                0.97321,                0.86398,                 0.2485,                0.73547,                0.54159,                0.86398,                 0.2485,                  0.727,                0.48999,                0.98558,                   1.24,                   2.57,                 1.0171,             0.00097937,             0.00097937,             0.00097937
                     36,                0.89741,                 1.2249,                 1.0034,                0.97394,                0.88452,                0.25926,                0.73566,                0.55178,                0.86072,                0.25389,                0.72246,                0.48007,                 0.9775,                 1.2607,                 2.5416,                 1.0144,              0.0010076,              0.0010076,              0.0010076
                     37,                0.89507,                 1.0086,                0.97569,                0.98225,                0.92465,                0.36175,                0.75647,                0.59531,                0.92465,                0.36175,                0.75227,                0.50541,                 0.8779,                 1.2653,                 2.3928,                0.96958,              0.0010357,              0.0010357,              0.0010357
                     38,                0.87966,                 1.0299,                0.95594,                0.95401,                0.92099,                0.37007,                0.73444,                0.57964,                0.92099,                0.37007,                0.73021,                 0.4951,                0.86767,                  1.295,                 2.3626,                0.96022,              0.0010639,              0.0010639,              0.0010639
                     39,                0.91105,                 1.0376,                0.97602,                0.96955,                0.92299,                0.34731,                0.76538,                0.58315,                0.92299,                0.34731,                0.74573,                0.50503,                0.94126,                 1.4178,                 2.4071,                0.98506,              0.0010921,              0.0010921,              0.0010921
                     40,                0.92465,                 1.1677,                0.93726,                0.93548,                 0.9047,                0.41291,                0.77153,                0.58057,                 0.9047,                0.41291,                0.75816,                0.51433,                0.94987,                 1.3898,                 2.3443,                0.98386,              0.0011202,              0.0011202,              0.0011202
                     41,                 0.8414,                  1.028,                0.95922,                0.94422,                0.89778,                0.55116,                0.82865,                0.63474,                0.89386,                0.54869,                0.81929,                0.55961,                0.90627,                   1.29,                 2.1398,                0.96938,              0.0011483,              0.0011483,              0.0011483
                     42,                0.95482,                 1.1641,                0.98056,                0.96838,                0.90687,                0.70042,                0.89548,                0.68281,                0.90687,                0.70042,                0.87715,                0.59815,                0.88259,                 1.2268,                 1.8968,                 0.9635,              0.0011764,              0.0011764,              0.0011764
                     43,                0.87651,                0.98566,                 0.9269,                0.94496,                0.87788,                0.75484,                0.89955,                0.68714,                0.88471,                 0.7569,                0.88489,                0.61548,                0.87134,                 1.2016,                 1.7069,                0.96694,              0.0012045,              0.0012045,              0.0012045
                     44,                0.87768,                 1.0127,                0.95936,                0.96054,                0.86032,                0.79762,                0.89574,                0.66877,                0.84946,                0.78121,                0.87339,                0.58836,                0.91631,                 1.2767,                 1.6381,                0.97522,              0.0012326,              0.0012326,              0.0012326
                     45,                0.87857,                0.94819,                 0.9031,                0.95526,                0.83422,                0.74401,                0.88952,                0.66609,                0.81396,                0.73368,                 0.8654,                  0.597,                0.89409,                  1.293,                 1.6916,                0.97284,              0.0012607,              0.0012607,              0.0012607
                     46,                0.89593,                 1.1224,                0.89017,                0.94621,                0.83181,                0.71275,                0.88435,                0.68216,                0.83804,                0.70618,                 0.8832,                0.63025,                0.88318,                 1.2365,                 1.7149,                 0.9823,              0.0012888,              0.0012888,              0.0012888
                     47,                0.88219,                 1.0843,                 0.9359,                0.95226,                0.87398,                0.69968,                0.88346,                 0.6702,                0.88396,                0.71044,                0.88617,                0.62271,                0.93348,                 1.2788,                 1.6845,                0.99774,              0.0013169,              0.0013169,              0.0013169
                     48,                0.90432,                 1.1204,                0.98532,                0.99762,                0.92067,                0.68741,                0.88771,                0.65432,                0.92067,                0.68741,                0.88112,                0.62256,                0.98855,                 1.2245,                 1.6992,                 1.0269,              0.0013449,              0.0013449,              0.0013449
                     49,                0.90485,                 1.0068,                0.97466,                0.98368,                0.90459,                0.70274,                0.87129,                0.65084,                0.90438,                0.69274,                 0.8591,                0.60871,                0.94841,                  1.159,                 1.7585,                 1.0021,               0.001373,               0.001373,               0.001373
                     50,                0.91578,                 1.1341,                0.96747,                0.96707,                0.88454,                0.71385,                0.85333,                0.61751,                0.89009,                0.71923,                0.84479,                0.56275,                 1.0048,                 1.2556,                 1.7518,                 1.0046,               0.001401,               0.001401,               0.001401
                     51,                0.98134,                 1.0783,                0.93343,                 0.9588,                0.86936,                0.68414,                 0.8244,                0.59421,                 0.8708,                0.68254,                  0.811,                0.53586,                 1.0039,                 1.3831,                 1.8521,                 1.0142,              0.0014149,              0.0014149,              0.0014149
                     52,                0.89165,                 1.0799,                0.95956,                0.98125,                0.89284,                0.64661,                0.81494,                0.59593,                0.89284,                0.64661,                0.80886,                0.56814,                 1.0324,                 1.3326,                 1.9255,                 1.0377,              0.0014149,              0.0014149,              0.0014149
                     53,                0.90359,                 1.1815,                0.91352,                0.93762,                0.84858,                0.67191,                0.83262,                0.63433,                0.84205,                0.66653,                0.81892,                0.57878,                0.97092,                 1.2939,                 1.8108,                 1.0222,              0.0014146,              0.0014146,              0.0014146
                     54,                0.88438,                 1.1077,                0.90944,                 0.9543,                0.89928,                0.70155,                0.85068,                0.65015,                0.90186,                0.69876,                0.84016,                0.53077,                0.92532,                 1.4778,                  1.697,                 1.0074,              0.0014143,              0.0014143,              0.0014143
                     55,                0.83792,                 1.1308,                0.90768,                0.94383,                0.80658,                0.68185,                0.80071,                0.59223,                0.80658,                0.68185,                0.79928,                0.51684,                0.95453,                 1.3166,                 1.6622,                  1.014,               0.001414,               0.001414,               0.001414
                     56,                0.94836,                 1.1086,                0.98231,                0.96829,                0.77657,                0.68288,                 0.7608,                0.56545,                0.77657,                0.68288,                0.76909,                0.52798,                0.97991,                 1.2758,                 1.7899,                 1.0268,              0.0014137,              0.0014137,              0.0014137
                     57,                0.99612,                 1.1855,                0.97152,                0.99743,                0.85467,                0.64533,                0.81505,                0.61146,                0.85467,                0.64533,                0.81335,                0.56083,                0.91493,                 1.2297,                 1.7759,                  0.994,              0.0014134,              0.0014134,              0.0014134
                     58,                0.84466,                 1.0575,                 0.8666,                0.91778,                0.87021,                0.71978,                0.87497,                0.66313,                0.87157,                 0.7184,                0.86873,                0.60129,                0.86981,                 1.1087,                 1.6266,                0.97124,              0.0014132,              0.0014132,              0.0014132
                     59,                0.85191,                 1.2007,                0.95604,                0.94843,                0.90343,                0.77363,                0.90427,                0.68877,                0.89536,                0.76882,                0.89555,                0.64012,                0.89772,                 1.0358,                  1.478,                0.98644,              0.0014129,              0.0014129,              0.0014129
                     60,                0.83884,                 1.0774,                0.86677,                 0.9441,                0.88998,                0.81611,                0.89426,                0.67705,                0.88998,                0.81611,                0.89436,                0.62735,                0.90842,                 1.1193,                 1.3504,                0.98456,              0.0014126,              0.0014126,              0.0014126
                     61,                0.83789,                 1.1653,                0.87545,                0.95087,                0.88402,                 0.7781,                0.88001,                0.67604,                 0.8722,                0.77281,                0.87393,                0.60839,                0.83431,                 1.1913,                 1.2932,                0.96527,              0.0014123,              0.0014123,              0.0014123
                     62,                0.82279,                 1.0497,                 0.9033,                0.96519,                  0.822,                0.74147,                0.82397,                0.62468,                0.80993,                0.72992,                0.80818,                0.56804,                0.90049,                 1.2299,                 1.4377,                 0.9952,               0.001412,               0.001412,               0.001412
                     63,                0.84433,                 1.1395,                0.88756,                0.94548,                0.75855,                0.68516,                 0.7765,                0.54704,                0.72831,                0.66332,                0.74031,                0.50965,                 1.0192,                  1.338,                 1.6673,                 1.0566,              0.0014117,              0.0014117,              0.0014117
                     64,                0.80046,                 1.2206,                0.79899,                0.92974,                0.80113,                0.62466,                0.71717,                0.49643,                0.76137,                0.59899,                0.68913,                0.45331,                 1.1021,                 1.6174,                 1.9149,                 1.1275,              0.0014115,              0.0014115,              0.0014115
                     65,                0.83833,                0.95942,                0.82544,                0.92729,                0.80914,                0.60228,                0.70896,                0.51494,                0.81123,                0.59677,                0.70313,                0.46972,                  1.078,                 1.6767,                 1.8944,                 1.1284,              0.0014112,              0.0014112,              0.0014112
                     66,                0.84368,                 1.0471,                 0.8987,                0.96187,                0.81311,                0.60753,                0.72353,                0.53087,                0.82212,                0.57419,                0.69561,                 0.4656,                 1.0548,                  1.773,                 1.8871,                 1.1026,              0.0014109,              0.0014109,              0.0014109
                     67,                0.87162,                 1.0976,                0.92879,                0.97821,                0.79499,                0.61737,                0.73105,                 0.5373,                0.77689,                0.60306,                0.70775,                0.47087,                 1.0148,                  1.821,                 1.8627,                 1.0508,              0.0014106,              0.0014106,              0.0014106
                     68,                0.84807,                 1.2992,                0.93143,                0.95764,                0.76546,                0.64359,                0.77732,                0.56531,                0.75275,                0.59832,                0.70026,                0.44138,                  0.981,                 2.4912,                 1.6775,                 1.0247,              0.0014103,              0.0014103,              0.0014103
                     69,                0.85247,                  1.047,                0.87591,                0.92354,                0.75737,                0.67707,                0.79543,                 0.6047,                0.81112,                0.59122,                 0.7029,                 0.3809,                 0.9132,                 3.4086,                 1.4847,                 1.0027,                0.00141,                0.00141,                0.00141
                     70,                0.85041,                 1.0134,                0.84532,                0.93509,                  0.826,                0.72577,                 0.8341,                0.64285,                0.83215,                0.67832,                0.75278,                0.40163,                0.87512,                 3.0623,                 1.2967,                0.97955,              0.0014098,              0.0014098,              0.0014098
                     71,                0.77968,                    1.2,                0.82457,                  0.906,                0.83523,                0.78627,                0.86577,                0.66535,                0.82744,                0.77419,                0.82125,                0.50845,                0.86815,                 2.1715,                  1.177,                  0.983,              0.0014095,              0.0014095,              0.0014095
                     72,                0.84391,                 1.0445,                0.89552,                0.95088,                0.85186,                0.84493,                0.89095,                0.69485,                 0.8562,                0.84326,                 0.8858,                0.57889,                0.82695,                 1.7129,                 1.1489,                0.96444,              0.0014092,              0.0014092,              0.0014092
                     73,                0.79082,                 1.1052,                0.81865,                0.92443,                0.83786,                0.81711,                 0.8929,                0.68993,                0.83008,                0.80926,                0.87637,                0.58895,                0.85332,                 1.6034,                 1.3026,                0.96525,              0.0014089,              0.0014089,              0.0014089
                     74,                0.90494,                 1.2572,                0.84714,                0.94758,                0.85017,                0.71435,                 0.8578,                0.66794,                0.85297,                0.69169,                 0.8442,                0.56031,                0.84192,                 1.5676,                 1.4457,                0.96628,              0.0014086,              0.0014086,              0.0014086
                     75,                0.83609,                 1.0323,                0.80933,                0.92869,                0.72131,                0.63815,                 0.7568,                0.58156,                0.71801,                0.65953,                0.76191,                0.47757,                0.85342,                 1.6118,                 1.5914,                 0.9922,              0.0014083,              0.0014083,              0.0014083
                     76,                0.79653,                  0.957,                0.74717,                0.90331,                0.65015,                 0.6553,                0.72139,                0.54693,                 0.6807,                0.65524,                0.71752,                0.43848,                0.89947,                 1.7088,                 1.6903,                 1.0207,              0.0014081,              0.0014081,              0.0014081
                     77,                0.79439,                 1.0079,                 0.7957,                0.91787,                0.63418,                0.69892,                0.74172,                0.55296,                0.64527,                0.68584,                0.72935,                0.43834,                0.93094,                 1.7953,                 1.7487,                 1.0314,              0.0014078,              0.0014078,              0.0014078
                     78,                0.80245,                 1.1214,                0.79452,                0.94207,                 0.6017,                 0.7087,                0.74769,                0.55779,                0.61151,                0.68933,                0.72937,                0.43318,                 0.9516,                 1.8144,                 1.8019,                 1.0353,              0.0014075,              0.0014075,              0.0014075
                     79,                0.76605,                0.96432,                0.78995,                0.91447,                  0.683,                 0.6614,                0.72236,                0.54334,                0.66858,                0.65683,                0.70061,                0.40696,                0.97699,                 1.7354,                 1.8113,                 1.0511,              0.0014072,              0.0014072,              0.0014072
                     80,                0.77351,                0.96506,                0.76153,                0.91126,                 0.6848,                0.63907,                0.67079,                 0.5096,                0.68546,                 0.6572,                0.66339,                0.38264,                 1.0282,                  1.737,                 1.8165,                 1.0831,              0.0014069,              0.0014069,              0.0014069
                     81,                0.77823,                 1.0332,                0.78381,                0.90573,                0.66167,                0.62599,                 0.6702,                0.50157,                0.66984,                0.63627,                0.66466,                 0.4192,                 1.0564,                 1.6629,                 1.7212,                  1.108,              0.0014066,              0.0014066,              0.0014066
