                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.88346,                  1.113,                0.84683,                 1.0189,                0.85045,                0.56871,                0.74399,                0.54436,                0.85045,                0.56871,                0.74245,                0.44265,                 1.0597,                 2.3494,                 2.0625,                 1.1545,              0.0016859,              0.0016859,              0.0016859
                     44,                 1.0595,                 1.4576,                0.89283,                 1.0704,                0.85249,                0.68333,                0.80354,                0.58444,                0.85249,                0.68333,                0.77905,                0.44407,                 1.0787,                 2.9218,                 1.8682,                 1.1778,              0.0017252,              0.0017252,              0.0017252
                     45,                 1.0556,                 1.1084,                0.90759,                 1.0589,                0.79338,                0.76797,                0.82114,                0.59288,                0.81372,                0.71667,                0.79499,                0.38877,                 1.0936,                 3.9542,                 1.6607,                 1.2455,              0.0017645,              0.0017645,              0.0017645
                     46,                 0.9619,                 1.1071,                0.84754,                  1.028,                0.69806,                0.65511,                0.73687,                0.53502,                0.68098,                0.64046,                0.66388,                0.30185,                 1.0769,                 4.1231,                  1.683,                 1.2937,              0.0018038,              0.0018038,              0.0018038
                     47,                 1.0426,                  1.118,                0.90095,                 1.0567,                0.87406,                0.57846,                0.71958,                0.55042,                0.87406,                0.57846,                0.70504,                0.43045,                 1.0067,                 2.8034,                 1.6801,                 1.1685,              0.0018431,              0.0018431,              0.0018431
                     48,                 1.0011,                  1.185,                0.89094,                  1.034,                0.79579,                0.64949,                0.76409,                0.56666,                0.79579,                0.64949,                0.75392,                0.46085,                 1.0122,                 2.8234,                 1.6815,                 1.1617,              0.0018823,              0.0018823,              0.0018823
                     49,                0.94824,                 0.9354,                0.82729,                 1.0326,                0.71187,                   0.85,                0.83231,                0.57502,                0.68162,                0.78502,                0.79203,                0.43992,                 1.1447,                 3.3336,                 1.6588,                 1.2206,              0.0019216,              0.0019216,              0.0019216
                     50,                0.97642,                 1.1376,                0.80584,                 1.0157,                0.76325,                0.66667,                0.76648,                 0.5239,                0.69953,                0.65972,                0.69039,                0.35308,                 1.1128,                 4.4538,                 1.7338,                 1.2241,              0.0019608,              0.0019608,              0.0019608
                     51,                0.97298,                 1.1666,                0.93971,                 1.0332,                 0.9487,                0.61647,                0.84132,                0.59294,                0.70417,                   0.75,                0.78666,                0.43961,                 1.0904,                  3.863,                 1.5544,                 1.3009,              0.0019802,              0.0019802,              0.0019802
                     52,                 1.0187,                 1.1313,                0.90058,                 1.0331,                0.77823,                0.88333,                0.90114,                0.60666,                0.73055,                0.81667,                0.80141,                0.34714,                 1.1559,                 4.4539,                  1.447,                  1.386,              0.0019802,              0.0019802,              0.0019802
                     53,                0.99293,                 1.3343,                0.83462,                 1.0472,                0.94216,                0.81455,                0.92915,                0.64005,                0.92393,                0.80979,                0.88975,                0.43491,                 1.1323,                 3.1749,                 1.4496,                 1.3406,              0.0019798,              0.0019798,              0.0019798
                     54,                 0.9443,                 1.0233,                0.85839,                 1.0491,                0.78712,                0.73333,                0.84621,                0.58858,                0.78677,                0.73799,                0.85756,                0.56714,                 1.1263,                 1.5692,                 1.5954,                 1.3137,              0.0019794,              0.0019794,              0.0019794
                     55,                 1.0647,                 1.1818,                0.82994,                  1.055,                0.64892,                0.70859,                0.78402,                0.49567,                0.64848,                0.70724,                0.76592,                0.44443,                 1.1948,                  2.181,                 1.7441,                  1.385,               0.001979,               0.001979,               0.001979
                     56,                 1.0711,                 1.0117,                0.79482,                 1.0402,                0.64169,                  0.597,                0.62139,                0.39155,                0.61204,                0.52595,                0.58403,                0.30584,                 1.3396,                 3.0265,                 1.9344,                   1.51,              0.0019786,              0.0019786,              0.0019786
                     57,                 1.0749,                  1.189,                0.93699,                 1.0693,                0.80359,                0.46667,                0.57362,                0.37737,                0.83229,                0.48333,                0.60449,                0.31955,                 1.3716,                 2.6866,                 2.0034,                 1.5346,              0.0019782,              0.0019782,              0.0019782
