                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77048,                 1.1424,                0.86139,                 1.0512,                0.83352,                 0.9103,                0.91147,                0.65836,                0.82482,                0.91728,                0.90489,                  0.413,                0.91908,                 1.9228,                 1.4965,                 1.2124,              0.0014197,              0.0014197,              0.0014197
                     36,                0.73729,                 1.0478,                0.80139,                 1.0185,                0.78367,                0.83117,                0.85815,                0.56179,                0.78367,                0.83117,                0.84444,                0.42561,                0.96695,                 1.5796,                 1.3842,                 1.2193,              0.0014194,              0.0014194,              0.0014194
                     37,                0.74242,                 1.1381,                0.81194,                 1.0257,                0.73725,                0.85714,                0.83183,                0.55533,                0.74664,                0.88312,                0.82842,                0.43081,                 1.0292,                  1.635,                 1.5482,                 1.2635,              0.0014191,              0.0014191,              0.0014191
                     38,                 0.7768,                 1.0933,                0.87902,                 1.0589,                0.72531,                0.93506,                0.84735,                0.57789,                0.72531,                0.93506,                0.85249,                0.50733,                  1.077,                 1.6953,                 1.6086,                 1.4619,              0.0014188,              0.0014188,              0.0014188
                     39,                0.80386,                 1.1196,                0.85995,                 1.0342,                0.73385,                0.84416,                0.81057,                0.48591,                0.76521,                0.81818,                0.85289,                0.49912,                 1.3328,                 1.6936,                  2.093,                 1.9944,              0.0014185,              0.0014185,              0.0014185
                     40,                 0.7536,                 1.2565,                0.79791,                 1.0056,                0.78934,                0.96104,                0.88639,                0.63834,                0.77867,                0.94805,                0.88314,                0.51822,                0.90899,                 1.6337,                 1.7436,                 1.2534,              0.0014182,              0.0014182,              0.0014182
                     41,                0.73105,                 1.1509,                0.78845,                 1.0164,                0.84878,                0.94805,                0.93856,                0.69919,                0.88551,                0.90406,                0.94956,                0.60277,                0.86796,                  1.357,                 1.6179,                 1.1943,               0.001418,               0.001418,               0.001418
                     42,                0.71029,                 1.1578,                 0.8263,                 1.0106,                0.77397,                0.93387,                0.88571,                0.67676,                0.77397,                0.93387,                 0.8811,                0.55305,                 0.9203,                 1.6989,                 1.3694,                 1.2602,              0.0014177,              0.0014177,              0.0014177
                     43,                0.77767,                 1.2001,                0.79497,                 1.0607,                0.82953,                0.84416,                0.91194,                0.67941,                0.80976,                0.88312,                0.90534,                0.62042,                0.98682,                 1.3399,                  1.361,                 1.2637,              0.0014174,              0.0014174,              0.0014174
                     44,                0.72286,                  1.068,                0.74825,                 1.0199,                0.83739,                0.83117,                0.87604,                0.58025,                0.81961,                0.88514,                0.90868,                 0.5878,                 1.3363,                 1.2939,                 1.4157,                 1.5095,              0.0014171,              0.0014171,              0.0014171
                     45,                0.71177,                 1.0155,                0.71055,                0.99577,                0.80134,                0.80519,                0.83692,                0.51021,                0.78008,                0.83117,                0.84964,                0.53255,                 1.4164,                 1.3911,                 1.6579,                 1.5932,              0.0014168,              0.0014168,              0.0014168
                     46,                0.73512,                 1.1583,                0.76454,                 1.0298,                 0.7124,                0.80424,                0.75737,                0.37853,                0.69509,                0.76977,                0.74853,                0.44627,                 1.5926,                 2.0924,                 1.7611,                 1.6435,              0.0014166,              0.0014166,              0.0014166
